603.16797	0.03475
606.02148	0.0391
608.87305	0.0391
611.72266	0.04079
614.57227	0.04343
617.42188	0.04606
620.26953	0.05295
623.11719	0.04249
625.96289	0.04736
628.80859	0.04619
631.6543	0.0431
634.49805	0.04149
637.33984	0.03399
640.18164	0.03897
643.02344	0.03826
645.86328	0.04701
648.70313	0.03593
651.54102	0.03731
654.37891	0.04939
657.2168	0.03752
660.05078	0.03919
662.88672	0.04131
665.7207	0.04139
668.55469	0.04232
671.38672	0.04251
674.2168	0.0417
677.04883	0.03995
679.87891	0.04133
682.70703	0.04375
685.53516	0.03931
688.36133	0.03681
691.1875	0.03644
694.01367	0.02995
696.83789	0.03885
699.66211	0.03639
702.48438	0.03728
705.30664	0.03706
708.12695	0.03799
710.94727	0.04471
713.76563	0.04869
716.58398	0.04317
719.40234	0.0416
722.21875	0.04668
725.03516	0.03976
727.84961	0.02753
730.66406	0.02544
733.47656	0.03282
736.28906	0.03143
739.09961	0.01978
741.91016	0.03001
744.7207	0.01945
747.5293	0.02136
750.33789	0.02457
753.14453	0.02021
755.95117	0.01635
758.75586	0.02643
761.56055	0.02462
764.36523	0.03335
767.16797	0.02204
769.96875	0.02912
772.76953	0.0279
775.57031	0.02265
778.36914	0.02882
781.16797	0.04107
783.96484	0.03129
786.76172	0.036
789.55859	0.033
792.35352	0.03609
795.14648	0.04789
797.94141	0.04115
800.73242	0.03002
803.52539	0.04182
806.31445	0.04122
809.10547	0.04723
811.89453	0.04445
814.68164	0.0453
817.46875	0.05721
820.25586	0.07134
823.04102	0.06825
825.82617	0.07682
828.60938	0.07089
831.39258	0.0652
834.17578	0.05722
836.95703	0.05713
839.73633	0.05334
842.51563	0.05542
845.29492	0.04949
848.07227	0.04102
850.84961	0.03
853.625		0.03536
856.40039	0.03979
859.17578	0.04062
861.94922	0.0515
864.7207	0.05055
867.49414	0.06127
870.26367	0.06107
873.03516	0.06793
875.80469	0.07184
878.57227	0.07626
881.33984	0.07828
884.10742	0.08437
886.87305	0.08109
889.63672	0.07887
892.40234	0.07537
895.16406	0.06463
897.92773	0.0683
900.68945	0.06477
903.44922	0.06522
906.20898	0.06
908.96875	0.06405
911.72656	0.05861
914.48438	0.05606
917.24023	0.05407
919.99609	0.05637
922.75195	0.05871
